"site","tree","imp","hd"
"C05-BEA1",0.124077474892396,0.263466284074605,143.034204605327
"C05-EGG1",0.131213425129088,0.381250717154332,568.900750444446
"C05-EGG2",0.199470217640321,0.280535509736541,234.938535166237
"C06-BEA2",0.149304997128087,0.175577254451465,7.76656314599054
"D02-BMT0",0.0330356409065858,0.75954198572988,3589.93201084218
"D02-HUP0",0.0487487071455504,0.611938599729297,4094.59681193092
"D02-JBS1",0.0300171969045572,0.371361421610777,6602.87310128354
"D02-MBS0",0.00558742174427317,0.0740807886701085,0
"D02-MDU1",0.00578540772532189,0.0775622317596567,0
"D02-MOP1",0.0431977077363897,0.734882521489971,3748.66114513144
"D02-RCP1",0.0351603665521191,0.721655211912944,2440.31886183255
"D02-SCP1",0.0325809223718132,0.76663993125179,3510.48654199186
"D03-AFP1",0.052618160985391,0.70439129189344,3028.95962693658
"D03-AMP1",0.054786594099112,0.652724147808651,2008.6273936365
"D03-CHP1",0.0443312284730195,0.681099311136625,3177.17154030563
"D03-GOM1",0.108723526044648,0.44044647967945,1882.74434931193
"D03-HOR1",0.0647062195471482,0.6210977357409,3351.59560429297
"D03-MFP0",0.0571490551662767,0.672013191855463,2318.48090247987
"D03-NPV1",0.141177987962167,0.422593866437375,989.589587518701
"D03-STB1",0.0399111493264546,0.727770134709086,6740.72959712429
"D04-DNP1",0.0543645773433007,0.542234042553191,2219.29541896949
"D04-EDW0",0.274316001772969,0.341194162505496,1021.41092263088
"D04-EVC0",0.288212383975027,0.336418690920504,1078.58145689979
"D04-FGP1",0.146343347639485,0.524606580829757,1426.13515768415
"D04-RDP1",0.077307582260372,0.557748211731044,1685.99141627797
"D04-ROS0",0.0755165166150028,0.520652101491821,2915.05003413205
"D05-ADC1",0.0919174548581255,0.453685869876755,1166.92611268645
"D05-BRP1",0.0723761809332952,0.476933867735471,1435.19614802125
"D05-MHC1",0.0593472659604924,0.464623532779845,1120.6503406071
"D05-MIA1",0.140375143184422,0.514450171821306,637.181784768974
"D05-PRC1",0.118490836197022,0.401248568155785,880.534096677714
"D06-KCG1",0.27347377472055,0.31920894239037,540.09974544475
"D07-ASC0",0.18399267076634,0.324023154284701,309.044491850903
"D07-BEC0",0.468394442853051,0.191045545688914,428.940810417829
"D07-NOC1",0.409788268955651,0.251905579399142,618.412590500944
"D07-PLN1",0.0444342595244915,0.553457462045259,1227.44058386712
"D08-BOR1",0.275226231386025,0.311165521191294,510.327920051779
"D08-CCC1",0.173440366972477,0.296100917431193,700.285110330997
"D08-DAW0",0.427396775415522,0.246349514323772,420.203426878169
"D08-DAW2",0.433742489270386,0.247424892703863,952.051198980435
"D09-BON0",0.0509762668848265,0.443413866224287,414.216701119991
"D09-CLG0",0.370533553123584,0.201237728962808,551.911393561754
"D09-RYW1",0.676000572573719,0.0721900944746636,183.485054324027
"D09-VTC1",0.326518624641834,0.264017191977077,303.543176289517
"D10-CAN0",0.365982466716451,0.321836345602821,226.524758425124
"D10-KEM1",0.395265271006596,0.18198738170347,519.388910389515
"D10-MAC1",0.596258581235698,0.0307122425629291,115.204019999
"D10-VHC1",0.0926469744766275,0.425402925150559,189.957190279242
"J01-BBS1",0.00969089868345736,0.454029765311963,763.712042689138
"J01-CLP1",0.0250860585197935,0.762051061388411,2754.54106244813
"J01-LMP1",0.0281812966150316,0.458402180149168,2313.14139031735
"J01-NOR1",0.00963376251788269,0.322972818311874,410.009812748787
"J01-SEP1",0.0162227324913892,0.789305396096441,9843.47157397095
"J01-SKP1",0.0223169336384439,0.825869565217391,3088.17967092812
"J01-TFS1",0.020552533638706,0.348041797881477,1174.69267583131
"J01-UIC1",0.0187751004016064,0.791333907056799,1891.1581260487
"R02-ALT1",0.027970226166619,0.698683080446608,2256.51020071066
"R02-DPG1",0.0514662840746055,0.606189383070301,2014.45231599356
"R02-FRP1",0.0297279495990836,0.702382588774341,1607.03135762483
"R02-GFP1",0.0600659403669725,0.58985378440367,2238.71182683441
"R03-AUP1",0.107711670480549,0.585686498855835,3524.72524109759
"R03-CPG1",0.0825630011454754,0.564653493699885,2983.65467525133
"R03-EUC1",0.0794347202295552,0.591847919655667,2340.00075453036
"R03-MAP1",0.0744578313253012,0.616376936316695,1996.9775489154
"R04-MMW0",0.0818895262111911,0.367826908803244,375.060278592233
"R04-MMW3",0.0936084838062482,0.373895098882201,407.744565165062
"R04-SCH1",0.0501919770773639,0.589573065902579,775.685494207653
"R05-FMG1",0.0475807835287389,0.397346296825851,379.590773760729
"R05-GOC1",0.0444199369808078,0.456811801775995,915.483630833716
"R05-MTC1",0.0582741843159702,0.44776473955352,398.359968030223
"R05-STP1",0.0514003436426117,0.643333333333333,1154.95266116993
"R06-OTB1",0.130575931232092,0.506819484240688,969.525966060103
"R06-SLT1",0.161589802348897,0.445193354339731,921.955766790772
"R06-SLT2",0.192896848137536,0.396805157593123,687.340838420154
"R06-YOW1",0.245337915234822,0.392941008018328,368.911749434536
"R07-FSP1",0.10055140723722,0.515488225157955,1368.85675448143
"R07-GOF1",0.171068155784651,0.356595074455899,691.871333589514
"R07-MMP1",0.181825987406983,0.3560503720664,982.793844767106
"R07-YHR1",0.158528485542514,0.420226166618952,808.369780779497
"R08-DAP1",0.272725709372313,0.34207222699914,920.337732801301
"R08-PAP1",0.16530524505589,0.426795643450846,963.053830103944
"R08-VLG1",0.124093767867353,0.397990280160091,1038.77782077871
"R08-WBK1",0.234885123492246,0.330433658816772,682.810343252445
"R09-BLW1",0.246149441740624,0.372673919267106,577.638133983735
"R09-CTG0",0.304865446946913,0.196093410542243,350.250424097909
"R09-LIM0",0.251576369327817,0.326951623661596,709.346100667936
"R09-SMI1",0.265088723526045,0.282501431024614,615.176522522001
"R10-FRM1",0.141590713671539,0.228919461163657,407.744565164987
"R10-FRM2",0.208672768878719,0.125866704805492,0
"R10-WCP0",0.199939081637252,0.33756836393623,76.0475974712235
"R10-WDW0",0.298024490436157,0.292346757179144,554.662051343627
"S02-BNS1",0.0558668197474168,0.400269804822044,2374.30307509193
"S02-BRI1",0.021845050215208,0.767044476327116,1126.79886976542
"S02-CPR1",0.00914948453608247,0.828865979381443,704.491998701741
"S02-MCP1",0.0402520045819015,0.73561282932417,1861.70990745792
"S02-PIP1",0.0262966150315548,0.768387837062536,1326.46426397563
"S02-PLP1",0.0159587274290628,0.817004872456291,2514.42481852029
"S02-TNE1",0.0169750787739903,0.308541965052993,1119.35591341722
"S02-TNW1",0.0202175780131692,0.374377326080733,1560.10837195273
"S03-ARP1",0.0261516369902355,0.741866743251005,1545.54606605212
"S03-JKP1",0.065219260533104,0.373737460590427,1037.1597867875
"S03-JKP2",0.0536848137535817,0.304744985673352,1196.0507244855
"S03-LCP1",0.0336590257879656,0.672289398280802,867.913431565542
"S03-PSP1",0.0302607449856734,0.693767908309456,1980.14999543445
"S03-VIP1",0.0313220533409808,0.687533696587324,1351.70559420075
"S03-WAP1",0.017153868113046,0.823602626320297,1037.48339358644
"S04-HAP1",0.0319484240687679,0.685332378223496,1959.43916037634
"S04-OTW1",0.237685902957221,0.366368073499856,1013.8600973509
"S04-SSP1",0.0715530085959885,0.547616045845272,821.637659487247
"S04-VFP1",0.0271935853379152,0.692958190148912,1519.98112903173
"S04-WEP1",0.03,0.62857962697274,1866.5640094201
"S05-LNC1",0.154788208357184,0.40819118488838,985.05909235096
"S05-RES1",0.0690243204577969,0.462666666666667,362.116006681814
"S05-SFP0",0.0805377308572182,0.400098226808058,242.219688116072
"S05-SFP3",0.0873209169054441,0.42721776504298,98.7000733136386
"S06-CBW1",0.44521502293578,0.0966771788990826,236.880175953276
"S06-CBW2",0.392744199369808,0.137109710684618,267.62282173926
"S07-ARG1",0.469493272258803,0.124425994846837,79.2836654486687
"S07-ARG2",0.296257510729614,0.274260371959943,8.73738353924977
"S07-SAG1",0.302953634802519,0.246863194046938,11.6498447189995
"S07-STJ1",0.41304958440814,0.158956721123531,1.94164078649981
"S07-WGL0",0.32521112637428,0.202620394327876,112.938772414746
"S08-WGL1",0.422580829756795,0.124151645207439,76.3712042690879
"S08-WGL2",0.457310443490701,0.0597882689556509,32.037072977249
"S09-ILC1",0.1850443490701,0.190989985693848,19.4164078650215
"S09-KTP1",0.368350515463918,0.108926116838488,16.8275534830204
"S09-SMC1",0.138323782234957,0.331957020057307,391.240618479274
"S09-VTW0",0.115404949310135,0.464679720930386,76.3712042690472
"S10-ILC1",0.146487106017192,0.148650429799427,80.5780926397556
"S10-LEW1",0.183939220183486,0.148494839449541,27.5065778087504
"S10-LPC1",0.143610792192882,0.386254305396096,769.860571847262
"S10-LPP0",0.201038889450827,0.0808163487482496,94.1695781452516
