"LocationName","hu","hd","pop","pd"
"C04-MBP1",2781,885.624402940885,7104,2262.30699694069
"C05-BEA1",442,140.757276555135,665,211.772825586345
"C05-BMP1",49,15.6043134642582,182,57.9588785815306
"C05-BMP2",5,1.59227688410802,6,1.91073226092962
"C05-EGG1",1758,559.844552452358,4969,1582.40476742649
"C05-EGG2",726,231.198603572501,2073,660.157996151233
"C06-BEA2",29,9.23520592782508,100,31.8455376821554
"C06-HMP1",42,13.375125826504,80,25.4764301457218
"D02-BMT1",9795,3119.27041596711,18382,5853.84673673379
"D02-BMT2",12783,4070.81508191024,35945,11446.8785198517
"D02-HUP1",12721,4051.07084854898,29037,9246.988776772
"D02-HUP2",12917,4113.48810240437,29441,9375.64474900419
"D02-JBS1",20965,6676.41697506424,29330,9340.29620217669
"D02-MBS1",0,0,0,0
"D02-MBS2",0,0,0,0
"D02-MDU1",0,0,0,0
"D02-MOP1",11733,3736.43693624776,35803,11401.6578563435
"D02-RCP1",7640,2432.99907891747,17059,5432.53027320067
"D02-SCP1",11256,3584.53372150395,22111,7041.36683690244
"D03-AFP1",9533,3035.83510724081,23724,7555.03535971689
"D03-AMP1",6306,2008.17960623684,15709,5002.61551449008
"D03-CHP1",9922,3159.71424882392,29054,9252.40251817477
"D03-GOM1",6006,1912.64299319044,16907,5384.12505592254
"D03-HOR1",10438,3324.03722326477,22178,7062.70334715137
"D03-MFP1",7366,2345.74230566757,18524,5899.06740024247
"D03-MFP2",7229,2302.1139190434,18221,5802.57542106651
"D03-NPV1",3113,991.351588045716,7206,2294.78944537662
"D03-STB1",21350,6799.02229514094,38867,12377.4051309247
"D04-DNP1",6976,2221.54470870737,16848,5365.33618869006
"D04-EDW1",3151,1003.45289236491,7611,2423.76387298932
"D04-EDW2",3321,1057.59030642488,8079,2572.80098934254
"D04-EDW3",3123,994.536141814141,7569,2410.38874716338
"D04-EVC1",3463,1102.81096993338,8177,2604.00961627066
"D04-EVC2",3319,1056.95339567113,8012,2551.46447909524
"D04-FGP1",4508,1435.59683871186,11278,3591.53973979422
"D04-RDP1",5303,1688.76886328505,12495,3979.09993338615
"D04-ROS1",8947,2849.22025642353,22266,7090.72742031143
"D04-ROS2",9301,2961.95345981858,23505,7485.29363219394
"D05-ADC1",3650,1162.36212539876,8397,2674.0697991708
"D05-BRP1",4544,1447.06123227753,10423,3319.26039261195
"D05-MHC1",3535,1125.73975706442,9391,2990.61444373182
"D05-MIA1",1993,634.681566005352,5004,1593.55070561504
"D05-PRC1",2767,881.16602766556,7212,2296.70017763788
"D06-KCG1",1671,532.138934668952,4192,1334.96493963629
"D07-ASC1",1674,533.094300799457,4520,1439.4183032339
"D07-ASC2",418,133.114347511446,833,265.273328892427
"D07-BEC1",716,228.014049804283,1958,623.53562781674
"D07-BEC2",1975,628.949369222656,4529,1442.28440162502
"D07-NOC1",1911,608.568225106044,4267,1358.84909289769
"D07-PLN1",3799,1209.81197654535,9935,3163.85416872284
"D08-BOR1",1577,502.204129247657,4150,1321.58981380962
"D08-CCC1",2164,689.137435442149,4592,1462.34709036522
"D08-DAW1",1558,496.153477088119,3900,1241.97596960441
"D08-DAW2",2942,936.895718609118,7499,2388.09687078511
"D08-DAW3",1612,513.35006743654,4077,1298.34257130197
"D09-BON1",1283,408.578248462161,3738,1190.38619855928
"D09-BON2",1349,429.596303332412,3812,1213.95189644415
"D09-CLG1",1721,548.061703509969,2793,889.445867462721
"D09-CLG2",1707,543.603328234638,2725,867.790901839126
"D09-RYW1",564,179.608832527389,1497,476.727699101953
"D09-VTC1",978,311.449358531602,2194,698.691096746764
"D10-CAN1",700,222.918763775154,934,297.43732195142
"D10-CAN2",700,222.918763775167,934,297.437321951438
"D10-KEM1",1605,511.1208797987,3361,1070.32852149747
"D10-MAC1",356,113.370114148493,501,159.546143787626
"D10-VHC1",599,190.754770716128,1225,390.107836606439
"J01-BBS1",2360,751.554689298959,3287,1046.76282361258
"J01-CLP1",8818,2808.13951281255,16949,5397.50018174869
"J01-LMP1",7299,2324.40579542064,12177,3877.83112355626
"J01-NOR1",1267,403.482962433035,1552,494.242744827207
"J01-SEP1",30421,9687.73101829107,42423,13509.8324509044
"J01-SKP1",9584,3052.07633145879,17032,5423.93197802652
"J01-TFS1",3812,1213.95189644407,5595,1781.75783331704
"J01-UIC1",5844,1861.05322214571,12855,4093.74386904228
"R02-ALT1",7162,2280.77740879658,17286,5504.81964373885
"R02-DPG1",6260,1993.53065890319,15569,4958.03176173541
"R02-FRP1",5111,1627.62543093511,12738,4056.48458995333
"R02-GFP1",6970,2219.63397644622,14958,4763.45552649677
"R03-AUP1",10970,3493.45548373361,24521,7808.84429504393
"R03-CPG1",9316,2966.73029047055,21261,6770.67976660524
"R03-EUC1",7334,2335.55173360961,19664,6262.10652981994
"R03-MAP1",6257,1992.57529277325,15030,4786.38431362985
"R04-MMW1",1212,385.967916707804,2774,883.395215303175
"R04-MMW2",1172,373.229701634925,2604,829.257801243467
"R04-MMW3",1285,409.215159215773,2978,948.360112174763
"R04-SCH1",2456,782.126405473904,5912,1882.70818776943
"R05-FMG1",1173,373.548157011823,2178,693.595810717605
"R05-GOC1",2845,906.005547057405,6823,2172.82103605366
"R05-MTC1",1231,392.01856886739,3341,1063.95941396097
"R05-STP1",3627,1155.03765173187,10275,3272.12899684172
"R06-OTB1",3001,955.684585841783,7079,2254.34561252049
"R06-SLT1",2873,914.922297608472,5964,1899.26786736405
"R06-SLT2",2172,691.68507845646,6105,1944.17007549571
"R06-YOW1",1140,363.039129576566,2563,816.20113079363
"R07-FSP1",4236,1348.97697621652,8960,2853.360176322
"R07-GOF1",2281,726.396714530003,5880,1872.51761571084
"R07-MMP1",3037,967.148979407242,7993,2545.41382693516
"R07-YHR1",2560,815.245764663487,6242,1987.79846212089
"R08-DAP1",2892,920.97294976812,7876,2508.15454784707
"R08-PAP1",2994,953.455398204074,6867,2186.83307263439
"R08-VLG1",3310,1054.08729727956,6991,2226.32153935993
"R08-WBK1",2128,677.673041876426,4914,1564.88972170148
"R09-BLW1",1822,580.225696569037,5453,1736.53716980843
"R09-CTG1",1346,428.640937201963,3177,1011.73273216243
"R09-CTG2",1530,487.236726537056,3633,1156.94838399289
"R09-CTG3",371,118.146944800813,960,305.717161748736
"R09-LIM1",1875,597.10383154038,6030,1920.28592223386
"R09-LIM2",2617,833.397721142139,7205,2294.47098999966
"R09-SMI1",1901,605.383671337888,5013,1596.41680400675
"R10-FRM1",1460,464.944850159546,3715,1183.06172489227
"R10-FRM2",0,0,2,0.636910753643221
"R10-WCP1",613,195.213145991631,2152,685.315970920048
"R10-WCP2",38,12.101304319224,91,28.9794392907732
"R10-WCP3",54,17.1965903483707,125,39.80692210271
"R10-WDW1",1649,525.132916378891,6375,2030.15302723798
"R10-WDW2",1791,570.353579887631,7085,2256.25634478161
"S02-BNS1",7344,2338.73628737777,13176,4195.9680450013
"S02-BRI1",3545,1128.92431083252,21455,6832.46010970712
"S02-CPR1",2280,726.078259153184,6090,1939.39324484337
"S02-MCP1",5787,1842.90126566697,16314,5195.28101746862
"S02-PIP1",4144,1319.67908154876,14932,4755.1756867003
"S02-PLP1",7847,2498.91934191917,18886,6014.34824665291
"S02-TNE1",3479,1107.90625596266,6798,2164.85965163385
"S02-TNW1",4821,1535.2733716572,9013,2870.23831129358
"S03-ARP1",4875,1552.46996200575,15706,5001.6601483615
"S03-JKP1",3440,1095.48649626634,6944,2211.35413664927
"S03-JKP2",3696,1177.01107273296,6370,2028.56075035415
"S03-LCP1",2682,854.097320635655,5666,1804.36816507145
"S03-PSP1",6177,1967.09886262726,20095,6399.36079723081
"S03-VIP1",4243,1351.20616385408,13343,4249.1500929307
"S03-WAP1",3324,1058.54567255525,10268,3269.89980920496
"S04-HAP1",6166,1963.5958534817,15290,4869.18271160156
"S04-OTW1",3160,1006.31899075626,8051,2563.8842387907
"S04-SSP1",2555,813.653487779341,6792,2162.94891937271
"S04-VFP1",4773,1519.98751356943,12872,4099.15761044746
"S04-WEP1",5842,1860.41631139154,15068,4798.48561794724
"S05-LNC1",3104,988.485489654286,7203,2293.83407924608
"S05-RES1",1119,356.351566663393,3081,981.161015987413
"S05-SFP1",862,274.50853482026,1940,617.803431033997
"S05-SFP2",646,205.722173426774,1459,464.62639478276
"S05-SFP3",315,100.313443698817,637,202.856075035386
"S06-CBW1",732,233.109335833421,1970,627.357092338579
"S06-CBW2",827,263.362596631515,2145,683.086783282467
"S07-ARG1",245,78.0215673212882,642,204.448351919457
"S07-ARG2",27,8.59829517418335,76,24.202608638442
"S07-SAG1",36,11.4643935655802,107,34.0747253199188
"S07-STJ1",6,1.91073226092958,14,4.45837527550234
"S07-WGL1",349,111.140926510746,763,242.981452514897
"S07-WGL2",349,111.140926510749,763,242.981452514904
"S08-WGL1",237,75.4739243067335,699,222.600308398341
"S08-WGL2",100,31.8455376821616,300,95.5366130464849
"S09-ILC1",218,69.4232721471035,641,204.12989654263
"S09-KTP1",57,18.1519564788304,144,45.8575742623083
"S09-SMC1",1221,388.834015099224,3711,1181.78790338511
"S09-VTW1",236,75.1554689298936,575,183.11184167241
"S09-VTW2",236,75.1554689299014,575,183.111841672429
"S10-ILC1",250,79.6138442054154,736,234.383157340743
"S10-LEW1",85,27.0687070298333,1465,466.537127043597
"S10-LPC1",2447,779.260307082477,5622,1790.35612849108
"S10-LPP1",287,91.3966931478199,854,271.960891805708
"S10-LPP2",313,99.6765329451579,906,288.520571400361
