"","sites","URB","twenty_years_of_data[2:14]","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1","D02-HUP0",1.98431522914565,0,0,157,114,21,15,183,207,27,4,284,47,120
"2","D02-MOP1",2.82716948992476,0,0,44,12,14,3,124,0,30,144,49,1,63
"3","D02-RCP1",2.19433226634827,0,0,145,0,3,17,279,69,105,73,2,40,123
"4","D02-SCP1",2.27657811438233,0,0,0,0,136,113,663,16,189,214,133,0,183
"5","D03-AFP1",2.02833686862964,0,0,80,41,22,5,63,23,52,0,27,11,11
"6","D03-AMP1",1.05966064343693,0,0,17,43,30,46,49,30,51,1,59,31,11
"7","D03-CHP1",2.04974297068868,0,0,716,206,208,51,654,178,301,97,322,48,0
"8","D03-MFP0",1.29659990528452,0,0,96,19,200,36,309,90,59,33,90,27,28
"9","D04-DNP1",1.0057404605425,0,0,160,70,35,30,71,11,73,164,134,25,70
"10","D04-EDW0",-0.869730596445476,0,0,78,11,56,4,183,50,79,34,104,41,89
"11","D04-FGP1",0.154547888674319,0,0,40,0,4,4,8,3,7,9,17,7,34
"12","D04-RDP1",0.51698476188068,0,0,92,79,68,108,326,139,114,0,74,0,88
"13","D05-ADC1",-0.0497838625316824,0,0,0,0,0,0,812,54,9,64,105,65,74
"14","D05-BRP1",0.104737500515586,0,0,5,16,5,27,22,1,11,11,7,10,2
"16","D05-MIA1",0.112260664497836,114,46,115,15,10,69,436,78,148,61,105,41,61
"17","D05-PRC1",-0.553169863881299,4,22,132,20,3,8,59,29,117,9,81,3,15
"18","D06-KCG1",-1.01390443457605,0,12,84,51,121,63,231,114,72,34,139,0,74
"19","D07-ASC0",-1.00800193601917,0,0,0,0,0,14,27,37,50,7,0,3,64
"20","D07-BEC0",-2.23736641833662,141,144,135,70,84,65,158,12,62,175,85,0,15
"21","D07-NOC1",-1.70537701585204,208,56,186,478,90,39,402,27,74,71,203,67,157
"22","D07-PLN1",1.17335149528043,0,5,41,0,0,0,0,0,0,0,0,0,0
"23","D08-BOR1",-1.37432521750737,3,4,4,0,0,0,0,0,0,0,0,0,0
"24","D08-CCC1",-0.910518369008238,0,0,73,90,113,69,52,7,202,15,191,22,16
"25","D08-DAW0",-1.86894061248107,87,23,63,49,39,46,9,149,116,77,40,50,46
"26","D08-DAW2",-1.63935415836498,59,23,29,32,106,38,483,17,36,17,112,14,2
"27","D09-BON0",-0.0620047958612826,7,12,75,41,0,0,0,0,0,0,0,0,0
"28","D09-CLG0",-2.08624194206035,0,0,214,41,14,7,49,37,21,16,84,88,14
"29","D09-RYW1",-3.43969276737103,0,21,45,0,14,17,274,53,17,19,57,74,51
"30","D09-VTC1",-1.68066395893497,11,28,28,4,53,0,72,9,42,13,117,21,158
"31","D10-CAN0",-1.59630316098839,0,1,30,0,42,4,19,34,109,46,13,33,2
"32","D10-KEM1",-2.08036864764965,0,22,35,6,0,0,0,0,0,0,0,0,0
"33","D10-MAC1",-3.3210810148396,0,71,45,0,86,16,32,32,10,23,31,36,58
"34","D10-VHC1",-0.317984947612082,0,0,9,0,0,6,88,16,27,1,0,7,6
"35","J01-CLP1",2.17281694512957,0,0,25,0,3,0,4,67,16,46,37,63,14
"36","J01-LMP1",0.962956440058245,0,0,30,10,16,4,54,10,69,70,81,23,0
"37","J01-SEP1",3.6743133993842,0,0,82,12,16,4,16,40,67,71,152,21,20
"38","J01-SKP1",1.98104488259208,0,0,1056,1912,162,31,40,291,90,109,98,235,0
"39","J01-UIC1",2.24095059355936,0,0,0,0,0,0,0,0,0,0,0,8,2
"40","R02-ALT1",1.75021979779381,0,0,0,1,10,5,44,5,32,0,1,0,0
"41","R02-DPG1",1.22132889841918,0,0,13,0,58,1,2,4,4,25,23,0,25
"42","R02-FRP1",1.66391916553476,0,0,6,6,14,1,79,27,35,50,52,0,0
"43","R03-AUP1",1.15107495437416,0,0,0,1,3,0,44,4,38,5,3,14,20
"44","R03-CPG1",1.09193628510183,0,0,42,48,4,10,25,11,3,11,51,15,40
"45","R03-EUC1",0.950510511306383,0,0,0,0,31,14,296,60,78,42,110,124,75
"46","R03-MAP1",0.886718232728252,0,0,0,0,41,20,115,26,16,20,24,0,29
"47","R04-MMW0",-0.353389784668911,81,27,41,60,17,18,282,63,71,11,22,50,36
"48","R04-SCH1",0.657836054789364,0,0,0,2,15,38,114,4,21,11,67,33,53
"49","R05-FMG1",-0.225496046923139,0,0,0,0,1,0,25,2,2,4,0,0,7
"50","R05-GOC1",-0.187407814249635,2,9,0,1,0,0,29,9,12,11,10,0,16
"51","R05-MTC1",-0.134155888864846,0,0,0,0,0,1,51,1,17,10,54,38,86
"52","R05-STP1",0.932741605167426,0,0,0,0,63,7,121,20,13,100,73,33,28
"53","R06-OTB1",0.516253004806622,0,0,0,0,48,2,8,116,37,9,3,44,3
"54","R06-SLT1",-0.340270449844423,47,12,13,32,17,1,17,51,29,70,13,27,32
"55","R06-SLT2",-0.552291201888241,59,13,40,2,96,47,28,30,27,47,137,36,15
"56","R06-YOW1",-0.994433914306422,85,30,114,92,98,54,175,95,20,66,51,59,83
"57","R07-FSP1",0.185346428807342,0,0,0,61,19,3,18,216,116,16,82,39,93
"58","R07-GOF1",-0.661300243298061,27,79,60,64,62,13,534,79,18,24,85,53,105
"59","R07-MMP1",-0.815831569939094,0,0,0,13,23,17,65,96,42,8,50,2,28
"60","R07-YHR1",-0.266805531593978,21,18,6,8,21,3,9,69,18,9,16,25,16
"61","R08-DAP1",-1.08769852337792,0,0,0,0,57,29,279,145,36,19,138,0,63
"62","R08-PAP1",-0.425938133874196,0,0,0,0,0,3,37,14,14,3,6,9,20
"63","R08-VLG1",-0.348120693602493,4,10,15,5,3,22,178,177,106,0,70,86,46
"64","R08-WBK1",-1.05964364167484,15,26,27,20,40,14,190,43,29,15,126,41,143
"65","R09-BLW1",-0.823523686985877,40,18,26,2,10,10,574,24,110,4,58,25,21
"66","R09-CTG0",-1.61455367337076,11,0,66,0,5,11,55,36,30,14,33,18,9
"67","R09-LIM0",-0.958657783490756,18,3,61,13,61,14,228,73,73,47,31,6,30
"68","R09-SMI1",-1.3590570860719,0,0,0,15,63,25,429,96,19,27,19,8,6
"69","R10-FRM1",-0.656583510633001,23,11,23,25,9,47,386,31,151,63,66,37,29
"70","R10-FRM2",-0.903910509357702,1,10,43,25,17,8,160,19,8,6,0,2,31
"71","R10-WCP0",-0.600699814254094,36,26,77,3,3,12,76,9,71,35,18,6,32
"72","R10-WDW0",-1.19012454844228,0,25,22,3,18,30,234,32,15,1,39,17,20
"73","S02-BRI1",2.11198717582063,0,0,0,0,146,22,124,87,31,41,73,0,0
"74","S02-CPR1",1.93485554525949,0,0,22,44,14,6,16,3,8,12,15,25,5
"75","S02-MCP1",1.88213774723949,0,0,10,2,35,1,3,37,0,0,10,53,1
"76","S02-PIP1",2.46004702353269,0,0,8,93,44,24,21,18,186,19,0,81,35
"77","S03-ARP1",2.32630935025778,0,0,168,80,104,68,93,0,0,0,0,0,0
"78","S03-LCP1",1.17750033523472,0,0,15,1,6,1,17,9,1,44,14,0,126
"79","S03-PSP1",2.19633356254048,0,0,0,0,0,0,0,0,59,9,28,0,88
"80","S03-VIP1",1.81171372441909,0,0,57,3,30,28,73,55,23,0,72,0,13
"81","S03-WAP1",2.74327278285758,0,0,37,5,17,154,55,55,153,86,63,122,135
"82","S04-HAP1",1.9371164284119,0,0,0,0,0,0,0,0,23,62,334,0,0
"83","S04-OTW1",-0.638787248891164,240,0,125,44,104,11,65,188,57,74,157,131,47
"84","S04-SSP1",0.545247449982088,0,0,6,1,6,11,41,13,49,23,49,24,0
"85","S04-VFP1",1.79266499960438,0,0,23,1,7,68,20,6,0,24,37,0,101
"86","S04-WEP1",1.47307040000606,0,0,112,44,57,21,0,0,0,0,0,0,0
"87","S05-LNC1",-0.43489503285059,5,25,177,26,4,53,14,17,14,7,228,18,32
"88","S05-RES1",-0.0582992074230775,0,0,0,0,0,120,505,163,56,46,33,31,37
"89","S05-SFP0",0.0674378010415086,0,29,51,0,21,11,66,0,26,23,14,10,7
"90","S06-CBW1",-2.77026713541169,14,13,84,11,37,10,13,0,42,43,16,16,7
"91","S07-SAG1",-1.997023255758,28,20,41,11,19,39,10,18,13,14,15,4,15
"92","S07-STJ1",-2.54447366071632,0,0,0,0,0,39,0,113,23,61,0,46,186
"93","S07-WGL0",-2.04722316202694,11,1,21,5,15,8,11,32,34,34,59,11,20
"94","S08-WGL1",-1.90816794027049,27,10,41,29,81,4,46,4,67,30,83,27,20
"95","S08-WGL2",-2.33681982302048,35,10,254,21,4,1,33,24,2,10,142,28,23
"96","S09-ILC1",-0.840157891167451,18,18,101,8,24,5,57,63,14,22,88,23,3
"97","S09-KTP1",-2.08210402545854,61,10,62,66,21,2,10,17,32,37,184,0,138
"98","S09-SMC1",-0.500665861743036,4,0,10,0,0,0,2,5,0,1,2,12,8
"99","S09-VTW0",-0.384581419779279,114,19,138,14,51,18,161,0,27,1,53,39,45
"100","S10-ILC1",-0.860103572534456,91,9,62,35,80,47,118,78,38,7,23,194,45
"101","S10-LEW1",-1.14279464606342,0,0,0,0,0,0,0,0,44,74,49,190,7
"102","S10-LPC1",-0.29954003177128,13,9,24,3,4,89,25,33,43,31,317,15,15
"103","S10-LPP0",-1.06340809907244,0,24,45,0,0,18,11,19,3,5,0,60,0
