site,house,tree,imp
D02-HUP0,4082.279475,0.2133176,0.481757824
D02-JBS1,6676.416975,0.175748011,0.543585331
D02-MBS0,0,0.17923429,0.175957987
D02-MDU1,0,0.175201687,0.19386914
D02-MOP1,3736.436936,0.166782162,0.604326785
D02-RCP1,2432.999079,0.157526768,0.649487805
D02-SCP1,3584.533722,0.171194158,0.672768364
D03-AFP1,3035.835107,0.19370511,0.60290384
D03-AMP1,2008.179606,0.234761622,0.525760992
D03-CHP1,3159.714249,0.17498535,0.575085872
D03-GOM1,1912.642993,0.342375579,0.331494963
D03-MFP0,2323.928112,0.232359225,0.532572553
D04-DNP1,2221.544709,0.223625424,0.441533105
D04-EDW0,1018.526447,0.485257935,0.279906463
D04-EVC0,1079.882183,0.498017767,0.273268612
D04-FGP1,1435.596839,0.343184911,0.420156322
D04-RDP1,1688.768863,0.277783755,0.459321072
D04-ROS0,2905.586858,0.290676932,0.394421962
D05-ADC1,1162.362125,0.29718021,0.346479258
D05-BRP1,1447.061232,0.280518328,0.363702399
D05-MHC1,1125.739757,0.178467716,0.352350146
D05-MIA1,634.681566,0.283311603,0.470561254
D05-PRC1,881.1660277,0.339872485,0.300301121
D06-KCG1,532.1389347,0.449730249,0.273478395
D07-ASC0,333.1043242,0.328273578,0.250820535
D07-BEC0,428.4817095,0.615024012,0.158292129
D07-NOC1,608.5682251,0.548864541,0.227961738
D07-PLN1,1209.811977,0.141796938,0.465908682
D08-BOR1,502.2041292,0.441836111,0.244825164
D08-CCC1,689.1374354,0.312414236,0.196609591
D08-DAW0,504.7517723,0.571387669,0.200566749
D08-DAW2,936.8957186,0.622506564,0.206618986
D09-BON0,419.0872759,0.165378442,0.363155333
D09-CLG0,545.8325159,0.518391009,0.135496279
D09-RYW1,179.6088325,0.828064088,0.061533393
D09-VTC1,311.4493585,0.467013052,0.204445773
D10-CAN0,222.9187638,0.494090969,0.296059715
D10-KEM1,511.1208798,0.571738238,0.179062143
D10-MAC1,113.3701141,0.758816824,0.047594856
D10-VHC1,190.7547707,0.176408817,0.317528931
J01-BBS1,751.5546893,0.105467173,0.650346035
J01-CLP1,2808.139513,0.143312051,0.666701362
J01-LMP1,2324.405795,0.214969902,0.462417936
J01-SEP1,9687.731018,0.099026579,0.709594885
J01-SKP1,3052.076331,0.126563611,0.751559553
J01-UIC1,1861.053222,0.099691716,0.737950748
R02-ALT1,2280.777409,0.134376105,0.592725023
R02-DPG1,1993.530659,0.211502027,0.502004095
R02-FRP1,1627.625431,0.129885008,0.597662912
R03-AUP1,3493.455484,0.28530785,0.484849102
R03-CPG1,2966.73029,0.262576272,0.467893293
R03-EUC1,2335.551734,0.29417176,0.51517372
R03-MAP1,1992.575293,0.272856739,0.541780092
R04-MMW0,379.5988092,0.244195076,0.314652696
R04-SCH1,782.1264055,0.202076716,0.532957155
R05-FMG1,373.548157,0.144824344,0.28598685
R05-GOC1,906.0055471,0.280051795,0.358437625
R05-MTC1,392.0185689,0.191042302,0.342669548
R05-STP1,1155.037652,0.220017456,0.535427419
R06-OTB1,955.6845858,0.222740633,0.434710188
R06-SLT1,914.9222976,0.281397606,0.343344365
R06-SLT2,691.6850785,0.329390962,0.308801739
R06-YOW1,363.0391296,0.359145992,0.300388559
R07-FSP1,1348.976976,0.203757757,0.416551651
R07-GOF1,726.3967145,0.256722461,0.248086084
R07-MMP1,967.1489794,0.348682583,0.247362063
R07-YHR1,815.2457647,0.281657158,0.33123387
R08-DAP1,920.9729498,0.422752318,0.255203927
R08-PAP1,953.4553982,0.281948746,0.315511473
R08-VLG1,1054.087297,0.249328283,0.259486876
R08-WBK1,677.6730419,0.363423616,0.250575586
R09-BLW1,580.2256966,0.360484774,0.297853729
R09-CTG0,344.6748695,0.413562827,0.138557559
R09-LIM0,715.2507763,0.368428492,0.25758999
R09-SMI1,605.3836713,0.405818396,0.186527214
R10-FRM1,464.9448502,0.183164953,0.159655194
R10-FRM2,0,0.089153604,0.08230227
R10-WCP0,74.83701355,0.218083307,0.281509605
R10-WDW0,547.7432481,0.452049577,0.21477682
S02-BNS1,2338.736287,0.248192821,0.440776979
S02-BRI1,1128.924311,0.11283177,0.58000988
S02-CPR1,726.0782592,0.044059036,0.625618514
S02-MCP1,1842.901266,0.151612486,0.563245001
S02-PIP1,1319.679082,0.108162737,0.507789231
S03-ARP1,1552.469962,0.115084485,0.704521198
S03-JKP1,1095.486496,0.240998907,0.315838722
S03-JKP2,1177.011073,0.24487843,0.30678044
S03-LCP1,854.0973206,0.128967189,0.553749353
S03-PSP1,1967.098863,0.128614532,0.640766504
S03-VIP1,1351.206164,0.133957518,0.651818679
S03-WAP1,1058.545673,0.070387606,0.80411957
S04-HAP1,1963.595853,0.117144391,0.669285614
S04-OTW1,1006.318991,0.453215639,0.317918922
S04-SSP1,813.6534878,0.201901839,0.449040311
S04-VFP1,1519.987514,0.129945808,0.680508336
S04-WEP1,1860.416311,0.151593042,0.612371398
S05-LNC1,988.4854897,0.305590667,0.343304757
S05-RES1,356.3515667,0.187093815,0.329238895
S05-SFP0,240.1153541,0.174161356,0.433862596
S06-CBW1,233.1093358,0.66536318,0.081288896
S07-SAG1,11.46439357,0.422756358,0.100709646
S07-STJ1,1.910732261,0.545300802,0.061171059
S07-WGL0,111.1409265,0.46249017,0.122240647
S08-WGL1,75.47392431,0.444165253,0.12697916
S08-WGL2,31.84553768,0.479029163,0.041017935
S09-ILC1,69.42327215,0.218186732,0.183836662
S09-KTP1,18.15195648,0.432320784,0.085582952
S09-SMC1,388.8340151,0.208545091,0.266076516
S09-VTW0,75.15546893,0.190906462,0.348518498
S10-ILC1,79.61384421,0.209171529,0.203842665
S10-LEW1,27.06870703,0.289346946,0.191355745
S10-LPC1,779.2603071,0.261357357,0.364996422
S10-LPP0,95.53661305,0.180684984,0.108524266
